plot,row,sight,ws,fs,sample,latitude,longitude ,easting,northing,weight,zone,letter,,,,,9.1
1,12,45,6,5,46,31.4734037138,-83.5306636683,259573.63(17N),3484842.18,16.55,17,N,,,,,12.5
1,12,46,5.5,5.5,42,31.4735331707,-83.5304700649,259592.36(17N),3484856.11,22.65,17,N,,,,,11.55
2,15,1,6.5,5.5,44.5,31.4735137692,-83.5305983395,259580.12(17N),3484854.24,12.5,17,N,,,,,6
2,15,2,5.5,5,46.4,31.4733773182,-83.5307853356,259562(17N),3484839.52,11.55,17,N,,,,,9.35
2,15,3,4,4,40.9,31.4732232034,-83.5309534409,259545.63(17N),3484822.8,6,17,N,,,,,10.1
2,15,4,4,4.5,38.4,31.4730358682,-83.5310684591,259534.22(17N),3484802.28,9.35,17,N,,,,,10.5
2,15,5,3.5,4,39.5,31.4728311427,-83.5311279757,259528.04(17N),3484779.71,10.1,17,N,,,,,12.65
2,15,6,4.5,4.5,41.8,31.4726176948,-83.5311588463,259524.56(17N),3484756.11,10.5,17,N,,,,,13.25
2,17,7,3.5,4.5,42.9,31.4726322817,-83.5311964888,259521.02(17N),3484757.81,12.65,17,N,,,,,11.55
2,17,8,4.5,5,39.9,31.4728397868,-83.5311651426,259524.53(17N),3484780.75,13.25,17,N,,,,,6.5
2,17,9,4,4,42.3,31.4730478619,-83.5311049797,259530.78(17N),3484803.69,11.55,17,N,,,,,10.65
2,17,10,3.5,3,40.6,31.473228543,-83.5309980952,259541.4(17N),3484823.49,6.5,17,N,,,,,9.5
2,17,11,4.5,3.5,43.1,31.4701733847,-83.5307493721,259557.22(17N),3484484.18,10.65,17,N,,,,,10.1
2,19,12,5,4.5,43.8,31.4734405176,-83.5308182894,259559.03(17N),3484846.6,9.5,17,N,,,,,10.65
2,19,13,4.5,5,44.6,31.4732874623,-83.5309921055,259542.12(17N),3484830.01,10.1,17,N,,,,,11.35
2,19,14,5,5,44.6,31.4731047281,-83.5311207165,259529.43(17N),3484810.03,10.65,17,N,,,,,9.75
2,19,15,5,3,44.8,31.472905951,-83.5311895478,259522.38(17N),3484788.14,11.35,17,N,,,,,12.55
2,19,16,4.5,3.5,44.5,31.4726992897,-83.5312283877,259518.16(17N),3484765.31,9.75,17,N,,,,,8.5
2,21,17,4.5,4,44,31.4727630943,-83.5312580959,259515.5(17N),3484772.45,12.55,17,N,,,,,9.55
2,21,18,4,4,43.6,31.4729693729,-83.5312112486,259520.48(17N),3484795.22,8.5,17,N,,,,,6.3
2,21,19,5,5,49.7,31.4731672258,-83.5311298705,259528.72(17N),3484816.98,9.55,17,N,,,,,10.55
2,21,20,6,4.5,41.5,31.4733408187,-83.530989228,259542.53(17N),3484835.92,6.3,17,N,,,,,10.95
2,23,21,5,4,45.4,31.4733447604,-83.5310361597,259538.08(17N),3484836.46,10.55,17,N,,,,,9.7
2,23,22,5,4,42.5,31.4731665573,-83.5311727847,259524.64(17N),3484817,10.95,17,N,,,,,13.45
2,23,23,4.5,4.5,43.6,31.4729665029,-83.5312514727,259516.65(17N),3484794.99,9.7,17,N,,,,,9.45
2,25,24,4.5,4,39.1,31.4729262634,-83.5313024758,259511.7(17N),3484790.64,13.45,17,N,,,,,
2,25,25,4.5,5,39.2,31.4731287383,-83.5312336391,259518.76(17N),3484812.94,9.45,17,N,,,,,
